㐀 qiu1
譂 chan3
譃 xu1
譄 zeng1
譅 se4
譆 xi1
譇 she1
譈 dui4
證 zheng4
譊 nao2
譋 lan2
譌 e2
譍 ying4 ying2
譎 jue2
譏 ji1
譐 zun3
譑 jiao3
譒 bo4
譓 hui4
譔 zhuan4
譕 mu2
譖 zen4 jian4
譗 zha2
識 shi5 shi4 shi2 zhi4
譙 qiao2 qiao4
譚 tan2
譛 zen4
譜 pu3
譝 sheng2
譞 xuan1
譟 zao4
譠 tan1
譡 dang3
譢 sui4
譣 qian1
譤 ji1
譥 jiao4
警 jing3
譧 lian2
譨 nou2 nong2
譩 yi1
譪 ai4
譫 zhan1
譬 pi4
譭 hui3
譮 hua4
譯 yi4
議 yi4
譱 shan4
譲 rang4
譳 nou4
譴 qian3
譵 zhui4
譶 ta4
護 hu4
譸 zhou1
譹 hao2 xia4
譺 ye4
譻 ying1
譼 jian4 jian1 kan4
譽 yu4
譾 jian3
譿 hui4
讀 du2 dou4
讁 zhe2
讂 xuan4
讃 zan4
讄 lei3
讅 shen3
讆 wei4
讇 chan3
讈 li4
讉 yi2
變 bian4
讋 zhe2 she4
讌 yan4
讍 e4
讎 chou2
讏 wei4
讐 chou2
讑 yao4
讒 chan2
讓 rang4
讔 yin3
讕 lan2
讖 chen4 chan4
讗 huo4
讘 zhe2
讙 huan1 xuan1
讚 zan4
讛 yi4
讜 dang3 dang4
讝 zhan1
讞 yan4
讟 du2
讠 yan2
计 ji4
订 ding4
讣 fu4
认 ren4
讥 ji1
讦 jie2
讧 hong2 hong4
讨 tao3
让 rang4
讪 shan4
讫 qi4
讬 tuo1
训 xun4
议 yi4
讯 xun4
记 ji4
讱 ren4
讲 jiang3
讳 hui4
讴 ou1
讵 ju4
讶 ya4
讷 ne4 na4
许 xu3 hu3
讹 e2
论 lun4 lun2
讻 xiong1
讼 song4 rong2
讽 feng1 feng3 feng4
设 she4
访 fang3
诀 jue2
证 zheng4
诂 gu3
诃 he1
评 ping2
诅 zu3
识 shi4 shi2 zhi4
诇 xiong4
诈 zha4
诉 su4
诊 zhen3
诋 di3
诌 zou1 zhou1
词 ci2
诎 qu4 qu1
诏 zhao4
诐 bi4
译 yi4
诒 yi2
诓 kuang1 kuang2 kuang4
诔 lei3
试 shi4
诖 gua4
诗 shi1
诘 jie2
诙 hui1
诚 cheng2
诛 zhu1
诜 shen1
话 hua4
诞 dan4
诟 gou4
诠 quan2
诡 gui3
询 xun2
诣 yi4
诤 zheng1 zheng4
该 gai1
详 xiang2 yang2
诧 cha4
诨 hun4
诩 xu3
诪 zhou1
诫 jie4
诬 wu2 wu1
语 yu3 yu4
诮 qiao4
误 wu4
诰 gao4
诱 you4
诲 hui4
诳 kuang2 kuang4
说 shuo1 shui4 tuo1 yue4
诵 song4
诶 ai1 ei1 ei2 ei3 ei4 xi1
请 qing3 qing4 qing1 qing2
诸 zhu1
诹 zou1
诺 nuo4
读 du2 dou4
诼 zhuo2
诽 fei3
课 ke4
诿 wei3
谀 yu2
谁 shui2 shei2
谂 shen3
调 diao4 tiao4 tiao2 zhou1
谄 chan3
谅 liang4 liang2
谆 zhun1 zhun4
谇 sui4
谈 tan2
谉 shen3
谊 yi2 yi4
谋 mou2
谌 chen2
谍 die2
谎 huang3
谏 jian4
谐 xie2
谑 nue4 xue4
谒 ye4
谓 wei4
谔 e4
谕 yu4
谖 xuan1
谗 chan2
谘 zi1
谙 an1
谚 yan4
谛 di4 ti2
谜 mi2 mei4 mi4
谝 pian2 pian3
谞 xu3
谟 mo2
谠 dang3
谡 su4
谢 xie4
谣 yao2
谤 bang4
谥 shi4
谦 qian1 qian4
谧 mi4
谨 jin3
谩 man2 man4
谪 zhe2
谫 jian3
谬 miu4
谭 tan2
谮 zen4 jian4
谯 qiao2 qiao4
谰 lan2
谱 pu3
谲 jue2
谳 yan4
谴 qian3
谵 zhan1
谶 chen4
谷 gu3 yu4 lu4
谸 qian1
谹 hong2
谺 xia1
谻 jue2
谼 hong2
谽 han1
谾 hong1
谿 xi1 qi1
豀 xi1 xi2
豁 huo1 huo4 hua2
豂 liao2
豃 han3
豄 du2
豅 long2
豆 dou4
豇 jiang1
豈 qi3 kai3
豉 chi3 shi4
豊 li3 feng1
豋 deng1
豌 wan1
豍 bi1
豎 shu4
豏 xian4
豐 feng1
豑 zhi4
豒 zhi4
豓 yan4
豔 yan4
豕 shi3
豖 chu4
豗 hui1
豘 tun2
豙 yi4
豚 tun2 dun1
豛 yi4
豜 jian1
豝 ba1
豞 hou4
豟 e4
豠 cu2
象 xiang4
豢 huan4
豣 jian1 yan4
豤 ken3
豥 gai1
豦 qu2
豧 fu1
豨 xi1
豩 bin1
豪 hao2
豫 yu4 xu4
豬 zhu1
豭 jia1
豮 fen2
豯 xi1
豰 bo2 hu4 huo4 gou4
豱 wen1
豲 huan2 yuan2
豳 bin1
豴 di2
豵 zong1
豶 fen2
豷 yi4
豸 zhi4
豹 bao4
豺 chai2
豻 an4 han4
豼 pi2
豽 na4
豾 pi1
豿 gou3
貀 na4
貁 you4
貂 diao1
貃 mo4
貄 si4
貅 xiu1
貆 huan2 huan1
貇 kun1
貈 he2 hao2 ma4 mo4
貉 he2 hao2 mo4 ma4
貊 mo4
貋 han4
貌 mao4
貍 li2 mai2
貎 ni2
貏 bi3
貐 yu3
貑 jia1
貒 tuan1
貓 mao1
貔 pi2
貕 xi1
貖 e4
貗 ju4
貘 mo4
貙 chu1
貚 tan2
貛 huan1
貜 jue2
貝 bei4
貞 zhen1
貟 yuan2 yun2
負 fu4
財 cai2
貢 gong4
貣 te4
貤 yi2 yi4
貥 hang2
貦 wan4
貧 pin2
貨 huo4
販 fan4
貪 tan1
貫 guan4 wan1
責 ze2 zhai4
貭 zhi2
貮 er4
貯 zhu3 zhu4
貰 shi4
貱 bi4
貲 zi1
貳 er4
貴 gui4
貵 pian3
貶 bian3
買 mai3
貸 dai4 te4
貹 sheng4
貺 kuang4
費 fei4 bi4
貼 tie1
貽 yi2
貾 chi2
貿 mao4
賀 he4
賁 bi4 ben1 fei2 fen2 fen4
賂 lu4
賃 lin4 ren4
賄 hui4
賅 gai1
賆 pian2
資 zi1 zi4
賈 jia3 jia4 gu3
賉 xu4
賊 zei2 ze2
賋 jiao3
賌 gai4 gai1
賍 zang1
賎 jian4
賏 ying4
賐 xun4
賑 zhen4
賒 she1 sha1
賓 bin1 bin4
賔 bin1 bin4
賕 qiu2
賖 she1
賗 chuan4
賘 zang1
賙 zhou1
賚 lai4
賛 zan4
賜 ci4 si4
賝 chen1
賞 shang3
賟 tian3
賠 pei2
賡 geng1
賢 xian2
賣 mai4
賤 jian4
賥 sui4
賦 fu4
賧 tan4 tan3
賨 cong2
賩 cong2
質 zhi4 zhi2
賫 ji1 qi2
賬 zhang4
賭 du3
賮 jin4
賯 xiong1 min2
賰 shun3
賱 yun3
賲 bao3
賳 zai1
賴 lai4
賵 feng4
賶 cang4
賷 ji1 qi2
賸 sheng4
賹 ai4
賺 zhuan4 zuan4
賻 fu4
購 gou4
賽 sai4
賾 ze2
賿 liao2
贀 wei4
贁 bai4
贂 chen3
贃 zhuan4 zuan4
贄 zhi4 zhi2
贅 zhui4
贆 biao1
贇 yun1
贈 zeng4
贉 tan3 dan3 dan4
贊 zan4
贋 yan4
贍 shan4 dan4
贎 wan4
贏 ying2
贐 jin4
贑 gan3 gan4 gong4
贒 xian2
贓 zang1
贔 bi4
贕 du2
贖 shu2 shu4
贗 yan4
贙 xuan4
贚 long4
贛 gan4 gong4 zhuang4
贜 zang1
贝 bei4
贞 zhen1
负 fu4
贠 yuan2 yun2
贡 gong4
财 cai2
责 ze2 zhai4
贤 xian2
败 bai4
账 zhang4
货 huo4
质 zhi2 zhi4
贩 fan4
贪 tan1
贫 pin2
贬 bian3
购 gou4
贮 zhu3 zhu4
贯 guan4 wan1
贰 er4
贱 jian4
贲 bi4 ben1 fei2 fen2 fen4
贳 shi4
贴 tie1
贵 gui4
贶 kuang4
贷 dai4 te4
贸 mao4
费 fei4 bi4
贺 he4
贻 yi2
贼 zei2 ze2
贽 zhi4
贾 jia3 gu3 jia4
贿 hui4
赀 zi1
赁 lin4 ren4
赂 lu4
赃 zang1
资 zi1
赅 gai1
赆 jin4
赇 qiu2
赈 zhen4
赉 lai4
赊 she1 sha1
赋 fu4
赌 du3
赍 ji1 qi2
赎 shu2
赏 shang3
赐 ci4 si4
赑 bi4
赒 zhou1
赓 geng1
赔 pei2
赕 tan4 tan3
赖 lai4
赗 feng4
赘 zhui4
赙 fu4
赚 zhuan4
赛 sai4
赜 ze2
赝 yan4
赞 zan4
赟 yun1
赠 zeng4
赡 shan4 dan4
赢 ying2
赣 gan4 gong4
赤 chi4
赥 xi4
赦 she4 ce4
赧 nan3
赨 xiong2 tong2
赩 xi4
赪 cheng1
赫 he4 xi4 shi4
赬 cheng1
赭 zhe3
赮 xia2
赯 tang2
走 zou3
赱 zou3
赲 li4
赳 jiu3 jiu1 jiu4
赴 fu4
赵 zhao4 tiao3
赶 gan3 qian2
起 qi3
赸 shan4
赹 qiong2
赺 qin2
赻 xian3
赼 ci1
赽 jue2
赾 qin3
赿 chi2 di4
趀 ci1
趁 chen4 zhen1 chen2
趂 chen4
趃 die2
趄 ju1 qie4
超 chao1 chao3 chao4 tiao4
趆 di1
趇 se4
趈 zhan1
趉 zhu2
越 yue4 huo2
趋 qu1 cu4
趌 jie2
趍 chi2 qu1
趎 chu2
趏 gua1
趐 xue4
趑 ci1 zi1 ci4
趒 tiao2
趓 duo3
趔 lie4
趕 gan3
趖 suo1
趗 cu4
趘 xi2
趙 zhao4 tiao3 diao4
趚 su4
趛 yin3
趜 ju2
趝 jian4
趞 que4
趟 tang4 cheng1 tang1 zheng1 zheng4
趠 chuo4 chao4
趡 cui3
趢 lu4
趣 qu4 cu4 qu1 cou3 zou1
趤 dang4
趥 qiu1
趦 zi1
趧 ti2
趨 qu1 cu4 qu4 cou3
趩 chi4
趪 huang2
趫 qiao2
趬 qiao2 qiao1
趭 yao4 jiao4
趮 zao4
趯 ti4 yue4
趱 zan3
趲 zan3 zan4 zu1
足 zu2 ju4
趴 pa1
趵 bao4 zhi1 bo1 zhuo2 pao2
趶 ku4
趷 ke1
趸 dun3
趹 jue2 gui4
趺 fu1
趻 chen3
趼 jian3 yan4
趽 fang4
趾 zhi3
趿 sa4 ta1 qi4
跀 yue4
跁 pa2
跂 qi2 qi3 qi4
跃 yue4
跄 qiang1 qiang4
跅 tuo4
跆 tai2
跇 yi4
跈 nian3 jian4
跉 ling2
跊 mei4
跋 ba2 bei4
跌 die1 die2 tu2
跍 ku1
跎 tuo2
跏 jia1
跐 ci3 cai3
跑 pao3 pao2 bo2
跒 qia3
跓 zhu4
跔 ju1
跕 die2 tie1
跖 zhi2 zhi1
跗 fu1
跘 pan2
跙 ju3
跚 shan1
跛 bo3 bi4 po1
跜 ni2
距 ju4
跞 li4 luo4
跟 gen1
跠 yi2
跡 ji1 ji4
跢 dai4
跣 xian3 xian1 sun3
跤 jiao1 qiao1
跥 duo4
跦 zhu1
跧 quan2 zun1 zhuan1
跨 kua4 ku4 kua1 kua3
跩 zhuai3 shi4
跪 gui4
跫 qiong2 qiong1 qiang1
跬 kui3 xie4
跭 xiang2
跮 chi4 die2
路 lu4 luo4
跰 beng4 pian2
跱 zhi4 shi4
跲 jia2
跳 tiao4 tiao2 tao2 diao4
跴 cai3
践 jian4
跶 ta4 da5
跷 qiao1
跸 bi4
跹 xian1
跺 duo4
跻 ji1
跼 ju2
跽 ji4
跾 shu2
跿 tu2
踀 chu4
踁 jing4
踂 nie4
踃 xiao1
踄 bo2
踅 chi4 xue2
踆 qun1 cun1 cun2
踇 mou3
踈 shu1
踉 lang2 liang2 liang4 lang4
踊 yong3
踋 jiao3 jue2
踌 chou2
踍 qiao1
踏 ta4 ta1
踐 jian4
踑 qi2 ji1
踒 wo1
踓 wei3
踔 zhuo2 chuo1 diao4 zhuo1 tiao4
踕 jie2
踖 ji2
踗 nie1
踘 ju2 ju1
踙 ju1
踚 lun2
踛 lu4
踜 leng4
踝 huai2 hua4
踞 ju4
踟 chi2
踠 wan3
踡 quan2
踢 ti1 die2
踣 bo2 pou4
踤 zu2 cui4
踥 qie4
踦 ji3 ji1 qi1 yi3
踧 cu4 di2
踨 zong1
踩 cai3 kui2
踪 zong1
踫 peng4
踬 zhi4
踭 zheng1
踮 dian3
踯 zhi2
踰 yu2
踱 duo4 duo2 chuo4
踲 dun4
踳 chun3
踴 yong3
踵 zhong3 zhong4
踶 di4 chi2 ti2 zhi4
踷 zhe3
踸 chen3
踹 chuai4 shuan4 duan4
踺 jian4
踻 gua1
踼 tang2
踽 ju3
踾 fu2
踿 zu2
蹀 die2
蹁 pian2
蹂 rou2
蹃 nuo4
蹄 ti2 di4
蹅 cha3
蹆 tui3
蹇 jian3 qian1
蹈 dao3 dao4
蹉 cuo1 chuai4
蹊 xi1 qi1 xi2
蹋 ta4
蹌 qiang1 qiang4
蹍 zhan3 nian3
蹎 dian1
蹏 ti2 di4
蹐 ji2
蹑 nie4
蹒 pan2 man2
蹓 liu1 liu4
蹔 zhan4 zan4
蹕 bi4
蹖 chong1
蹗 lu4
蹘 liao2
蹙 cu4
蹚 tang1
蹛 dai4 zhi4
蹜 suo1 su4
蹝 xi3
蹞 kui3
蹟 ji1 ji4
蹠 zhi2
蹡 qiang1 qiang4
蹢 di2 zhi2
蹣 pan2 man2 liang3
蹤 zong1
蹥 lian2
蹦 beng4
蹧 zao1
蹨 nian3
蹩 bie2
蹪 tui2
蹫 ju2
蹬 deng4 deng1
蹭 ceng4 ceng2
蹮 xian1
蹯 fan2 fan1
蹰 chu2
蹱 zhong1
蹲 dun1 dun2 cun2 zun1 cun3 cuan2
蹳 bo1
蹴 cu4 zu2
蹵 zu2 cu4
蹶 jue2 jue3 gui4
蹷 jue2
蹸 lin4
蹹 ta4
蹺 qiao1 qiao4
蹻 qiao1 jue2
蹼 pu2 pu3
蹽 liao1
蹾 dun1
蹿 cuan1
躀 kuang4
躁 zao4
躂 ta4 da5
躃 bi4
躄 bi4
躅 zhu2 zhuo2
躆 ju4
躇 chu2 chuo4
躈 qiao4
躉 dun3
躊 chou2
躋 ji1
躌 wu3
躍 yue4 ti4
躎 nian3
躏 lin4
躐 lie4
躑 zhi2
躒 li4 luo4 yue4
躓 zhi4 zhi1
躔 chan2 zhan4
躕 chu2
躖 duan4
躗 wei4
躘 long2
躙 lin4
躚 xian1
躛 wei4
躜 zuan1
躝 lan2
躞 xie4
躟 rang2
躠 xie3 sa3 xie4
躡 nie4
躢 ta4
躣 qu2
躤 jie4 ji2
躥 cuan1
躦 zuan1 cuo2
躧 xi3
躨 kui2
躩 jue2
躪 lin4
身 shen1 yuan2 juan1
躬 gong1
躭 dan1
躯 qu1
躰 ti3
躱 duo3
躲 duo3
躳 gong1
躴 lang2
躶 luo3
躷 ai3
躸 ji1
躹 ju2
躺 tang3
躽 yan3
躿 kang1
軀 qu1
軁 lou2
軂 lao4
軃 tuo3 duo3
軄 zhi2
軆 ti3
軇 dao4
軉 yu4
車 che1 ju1
軋 ya4 ga2 zha2
軌 gui3
軍 jun1
軎 wei4
軏 yue4
軐 xin4 xian4
軑 di4 dai4
軒 xuan1 xian3 xian4 han3 jian1
軓 fan4
軔 ren4
軕 shan1
軖 qiang2
軗 shu1
軘 tun2
軙 chen2 qi2
軚 dai4
軛 e4
軜 na4
軝 qi2
軞 mao2
軟 ruan3
軠 ren4
軡 fan3
転 zhuan3
軣 hong1
軤 hu1
軥 qu2 gou1 ju1
軦 huang4
軧 di3
軨 ling2
軩 dai4
軪 ao1
軫 zhen3
軬 fan4 ben4
軭 kuang1
軮 ang3 yang3
軯 peng1
軰 bei4
軱 gu1
軲 ku1
軳 pao2
軴 zhu4
軵 rong3 fu3
軶 e4
軷 ba2
軸 zhou2 zhu2 zhou4
軹 zhi3
軺 yao2 diao1
軻 ke1
軼 yi4 die2 zhe2
軽 qing1
軾 shi4
軿 ping2 peng1
輀 er2
輁 qiong2 gong3
輂 ju2
較 jiao4 jue2 xiao4
輄 guang1
輅 lu4 ya4 he2
輆 kai3
輇 quan2 chun1
輈 zhou1
載 zai4 zai3 dai4 zai1 zi1
輊 zhi4
輋 she1
輌 liang4
輍 yu4
輎 shao1
輏 you2
輐 huan3 wan4
輑 yun3
輒 zhe2
輓 wan3
輔 fu3
輕 qing1 qing4
輖 zhou1
輗 ni2
輘 ling2 leng2
輙 zhe2
輚 zhan4
輛 liang4
輜 zi1 zi4
輝 hui1
輞 wang3
輟 chuo4
輠 guo3 guo1 hua4 hui4
輡 kan3
輢 yi3
輣 peng2
輤 qian4
輥 gun3
輦 nian3
輧 pian2 ping2
輨 guan3
輩 bei4
輪 lun2
輫 pai2 pei2
輬 liang2
輭 ruan3
輮 rou2 rou3
輯 ji2
輰 yang2
輱 xian2
輲 chuan2
輳 cou4
輴 chun1 shun1 qun1
輵 ge2
輶 you2
輷 hong1
輸 shu1 shu4
輹 fu4
輺 zi1 zi4
輻 fu2
輼 wen1
輽 ben4
輾 zhan3 nian3
輿 yu2 yu4
轀 wen1
轁 tao1 kan3
轂 gu3 gu1
轃 zhen1
轄 xia2 he2
轅 yuan2
轆 lu4
轇 jiu1 jiao1
轈 chao2
轉 zhuan3 zhuan4
轊 wei4
轋 hun2
轍 che4 zhe2
轎 jiao4
轏 zhan4
轐 pu2 bu2
轑 lao3 lao2 liao3
轒 fen2
轓 fan1
轔 lin2 lin4
轕 ge2
轖 se4
轗 kan3
轘 huan4 huan2
轙 yi3
轚 ji2
轛 dui4
轜 er2
轝 yu2
轞 xian4
轟 hong1
轠 lei3 lei2
轡 pei4
轢 li4
轣 li4
轤 lu2
轥 lin4
车 che1 ju1
轧 ya4 ga2 zha2
轨 gui3
轩 xuan1
轪 di4 dai4
轫 ren4
转 zhuan3 zhuan4
轭 e4
轮 lun2
软 ruan3
轰 hong1
轱 ku1
轲 ke1
轳 lu2
轴 zhou2 zhu2
轵 zhi3
轶 yi4 die2
轷 hu1
轸 zhen3
轹 li4
轺 yao2
轻 qing1
轼 shi4
载 zai4 zai3
轾 zhi4
轿 jiao4
辀 zhou1
辁 quan2
辂 lu4 ya4
较 jiao4 jue2
辄 zhe2
辅 fu3
辆 liang4
辇 nian3
辈 bei4
辉 hui1
辊 gun3
辋 wang3
辌 liang2
辍 chuo4
辎 zi1
辏 cou4
辐 fu2
辑 ji2
辒 wen1
输 shu1
辔 pei4
辕 yuan2
辖 xia2
辗 zhan3 nian3
辘 lu4
辙 zhe2 che4
辚 lin2 lin4
辛 xin1
辜 gu1
辝 ci2
辞 ci2
辟 pi4 pi1 bi4 mi3
辠 zui4
辡 bian4
辢 la4
辣 la4
辤 ci2
辥 xue1
辦 ban4
辧 bian4
辨 bian4 ban1 ban4 bian3 pian4
辩 bian4 pian2
辫 bian4
辬 ban1
辭 ci2
辮 bian4
辯 bian4 pian2 bian3 ban4
辰 chen2
辱 ru3 ru4
農 nong2
辳 nong2
辴 zhen3
辵 chuo4
辶 chuo4
辸 reng2
边 bian1 bian5
辺 bian1
辽 liao2
达 da2 ti4 ta4
辿 chan1
迀 gan1
迁 qian1 gan1
迂 yu1 yu4
迃 yu1
迄 qi4
迅 xun4
迆 yi3 yi2
过 guo4 guo1
迈 mai4
迉 qi2
迊 za1
迋 wang4 guang3 guang4 kuang2
迍 zhun1 tun2
迎 ying2 ying4
迏 ti4
运 yun4
近 jin4 ji4
迒 hang2
迓 ya4
返 fan3
迕 wu4 wu3
迖 da2 ti4 ta4
迗 e2
还 huan2 hai2 xuan2
这 zhe4 zhei4
进 jin4
远 yuan3 yuan4
违 wei2
连 lian2
迟 chi2 zhi2
迠 che4
迡 ni4
迢 tiao2
迣 zhi4 chi4 li4
迤 yi3 tuo1 yi2 tuo2
迥 jiong3
迦 jia1 xie4
迧 chen2 zhen4
迨 dai4
迩 er3
迪 di2
迫 po4 pai3
迬 wang3
迭 die2
迮 ze2 zuo4
迯 tao2
述 shu4
迱 tuo2
迳 jing4
迴 hui2
迵 tong2
迶 you4
迷 mi2 mei4 mi4
迸 beng4 bing3 peng1
迹 ji1 ji4
迺 nai3
迻 yi2
迼 jie2
追 zhui1 dui1 tui1
迾 lie4
迿 xun4
退 tui4
送 song4
适 shi4 gua1 kuo4
逃 tao2
逄 pang2 feng2
逅 hou4 gou4
逆 ni4
逇 dun4
逈 jiong3
选 xuan3 suan4
逊 xun4
逋 bu1
逌 you2
逍 xiao1
逎 qiu2
透 tou4 shu1
逐 zhu2 di2 zhou4 tun2
逑 qiu2
递 di4 dai4
逓 di4
途 tu2
逕 jing4
逖 ti4
逗 dou4 zhu4 tou2 qi2
逘 yi3
這 zhe4 zhei4 yan4
通 tong1 tong4
逛 guang4 kuang2
逜 wu4
逝 shi4
逞 cheng3 ying2
速 su4
造 zao4 cao4 cao1
逡 qun1 jun4 xun4 suo1
逢 feng2 pang2 peng2
連 lian2 lian3 lian4 lan4
逤 suo4
逥 hui2
逦 li3
逨 lai2
逩 ben4 ben1
逪 cuo4
逫 jue2
逬 beng4
逭 huan4
逮 dai4 dai3 di4
逯 lu4 dai4
逰 you2
週 zhou1
進 jin4
逳 yu4
逴 chuo4
逵 kui2
逶 wei1
逷 ti4
逸 yi4
逹 da2
逺 yuan3 yuan4
逻 luo2 luo4
逼 bi1
逽 nuo4
逾 yu2 dou4
逿 dang4 tang2
遀 sui2
遁 dun4 xun2 qun1
遂 sui4 sui2
遃 yan3
遄 chuan2
遅 chi2
遆 ti2
遇 yu4
遈 shi2
遉 zhen1 zheng1
遊 you2
運 yun4
遌 e4
遍 bian4
過 guo4 guo5 guo1 huo4
遏 e4
遐 xia2
遑 huang2
遒 qiu2 qiu1
道 dao4 dao3
達 da2 ta4 ti4
違 wei2 hui2
遗 yi2 wei4
遘 gou4
遙 yao2
遚 chu4
遛 liu2 liu4
遜 xun4
遝 ta4 dai4
遞 di4 dai4
遟 chi2 zhi4 xi1
遠 yuan3 yuan4
遡 su4
遢 ta4
遣 qian3 qian4
遥 yao2
遦 guan4
遧 zhang1
遨 ao2
適 shi4 di2 ti4 zhe2
遪 ce4
遫 chi4
遬 su4
遭 zao1
遮 zhe1
遯 dun4
遰 di4 shi4
遱 lou2
遲 chi2 zhi4 xi1 zhi2
遳 cuo1
遴 lin2 lin4
遵 zun1
遶 rao4 rao3
遷 qian1
選 xuan3 suan4 xuan4
遹 yu4
遺 yi2 wei4 sui2
遻 wu4 e4
遼 liao2
遽 ju4 qu2
遾 shi4
避 bi4
邀 yao1
邁 mai4
邂 xie4
邃 sui4
還 huan2 hai2 xuan2
邅 zhan1
邆 teng2
邇 er3
邈 miao3 miao2
邉 bian1
邊 bian1
邋 la2 la1 lie4
邌 li2
邍 yuan2
邎 yao2
邏 luo2 luo4
邐 li3
邑 yi4 e4
邒 ting2
邓 deng4
邔 qi3 ji4
邕 yong1 yong3
邖 shan1
邗 han2
邘 yu2
邙 mang2
邚 ru2
邛 qiong2
邝 kuang4
邞 fu1
邟 kang4 kang2
邠 bin1
邡 fang1 fang3 fang4
邢 xing2 geng3
那 na4 nei4 na1 na3 ne2 nei3 nuo2 nuo4
邥 shen3
邦 bang1
邧 yuan2
邨 cun1
邩 huo3
邪 xie2 xu2 ya2 ye2 yu2 she2
邫 bang1
邬 wu1
邭 ju4
邮 you2
邯 han2 han4
邰 tai2
邱 qiu1
邲 bi4
邳 pei2 pi1
邴 bing3
邵 shao4
邶 bei4
邷 wa3
邸 di3
邹 zou1
邺 ye4
邻 lin2
邼 kuang1
邽 gui1
邾 zhu1
邿 shi1
郀 ku1
郁 yu4
郂 gai1
郃 he2 xia2 ge2
郄 xi4 que4
郅 zhi4 zhi1 ji2
郆 ji2
郇 xun2 huan2
郈 hou4
郉 xing2
郊 jiao1
郋 xi2 xi1
郌 gui1
郍 nuo2
郎 lang2 lang4
郏 jia2
郐 kuai4
郑 zheng4
郓 yun4
郔 yan2
郕 cheng2
郖 dou1 dou4
郗 chi1 xi1
郘 lv3
郙 fu3
郚 wu2
郛 fu2
郜 gao4
郝 hao3 shi4
郞 lang2 lang4
郟 jia2
郠 geng3
郡 jun4
郢 ying3 cheng2
郣 bo2
郤 xi4
郥 bei4
郦 li4 zhi2
郧 yun2
部 bu4 pou3
郩 xiao2
郪 qi1 ci1
郫 pi2
郬 qing1
郭 guo1 guo2
郯 tan2
郰 zou1
郱 ping2
郲 lai2
郳 ni2
郴 chen1 lan2
郵 you2 chui2
郶 bu4
郷 xiang1
郸 dan1
郹 ju2
郺 yong1
郻 qiao1
郼 yi1
都 du1 dou1
郾 yan3 yan1
郿 mei2 fei2
鄀 ruo4
鄁 bei4
鄂 e4
鄃 yu2 shu1
鄄 juan4
鄅 yu3
鄆 yun4
鄇 hou4
鄈 kui2
鄉 xiang1 xiang3 xiang4
鄊 xiang1
鄋 sou1
鄌 tang2
鄍 ming2
鄎 xi4
鄏 ru4 ru3
鄐 chu4
鄑 zi1
鄒 zou1 ju4
鄓 ju2
鄔 wu1
鄕 xiang1 xiang3 xiang4
鄖 yun2
鄗 hao4
鄘 yong1 yong2
鄙 bi3
鄚 mo4
鄛 chao2
鄜 fu1
鄝 liao3
鄞 yin2
鄟 zhuan1
鄠 hu4
鄡 qiao1
鄢 yan1
鄣 zhang1 zhang4
鄤 man4 wan4 fan4
鄥 qiao1
鄦 xu3
鄧 deng4
鄨 bi4
鄩 xin2 xun2
鄪 bi4
鄫 ceng2 zeng1
鄬 wei2
鄭 zheng4
鄮 mao4
鄯 shan4
鄰 lin2 lin4
鄱 po2 pi2 pan2
鄲 dan1 duo1
鄳 meng2
鄴 ye4
鄵 cao1 cao4
鄶 kuai4
鄷 feng1
鄸 meng2
鄹 zou1 ju4
鄺 kuang4 kuo4
鄻 lian3 lian2
鄼 zan4 cuo2
鄽 chan2
鄾 you1
鄿 qi2
酀 yan1
酁 chan2
酂 zan4 da2
酃 ling2
酄 huan1
酅 xi1
酆 feng1
酇 zan4 da2
酈 li4 zhi2 li2
酉 you3
酊 ding3 ding1
酋 qiu2
酌 zhuo2
配 pei4
酎 zhou4
酏 yi2 hu4 tuo2 yi3
酐 hang4 gan1 hang3 han2
酑 yu3
酒 jiu3
酓 yan3
酔 zui4
酕 mao2
酖 dan1 zhen4
酗 xu4
酘 tou2
酙 zhen1
酚 fen1
酝 yun4
酞 tai4
酟 tian1
酠 qia3
酡 tuo2
酢 zuo4 cu4
酣 han1 han4
酤 gu1
酥 su1
酦 po4 po1
酧 chou2
酨 zai4 zui4
酩 ming2 ming3
酪 lao4 luo4 lu4
酫 chuo4
酬 chou2
酭 you4
酮 tong2 dong4 chong2
酯 zhi3
酰 xian1
酱 jiang4
酲 cheng2
酳 yin4
酴 tu2
酵 jiao4 xiao4
酶 mei2
酷 ku4
酸 suan1
酹 lei4
酺 pu2
酻 zui4
酼 hai3
酽 yan4
酾 xi3 li2 shai1 shi1
酿 niang4 niang2
醀 wei2
醁 lu4
醂 lan3
醃 yan1
醄 tao2
醅 pei1
醆 zhan3
醇 chun2
醈 tan2
醉 zui4
醊 chuo4 zhui1
醋 cu4
醌 kun1
醍 ti2 ti3
醎 mian2
醏 du1
醐 hu2
醑 xu3
醒 xing3 xing1 cheng2 jing1
醓 tan3
醔 jiu1
醕 chun2
醖 yun4
醗 po4
醘 ke4
醙 sou1
醚 mi2
醛 quan2 chuo4
醜 chou3
醝 cuo2 cuo1
醞 yun4
醟 yong4 yong3
醠 ang4
醡 zha4
醢 hai3
醣 tang2
醤 jiang4
醥 piao3
醦 shan3
醧 yu4
醨 li2
醩 zao2 zao1
醪 lao2
醫 yi1
醬 jiang4
醭 bu2 pu1 pu2
醮 jiao4 qiao2 zhan4
